"","geoid","compost_points","enf_points","gascapture_points","insp_points","landdisposal_points","leachate_points","msw_points","tire_points","transfer_points","wte_points","sw_points","percentile_rank"
"520",27063480100,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,5,50.2691065662002
"521",27063480200,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,8.18083961248654
"522",27063480400,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,25.6189451022605
"523",27065480100,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,25.6189451022605
"524",27065480200,NA,6,NA,1,1,NA,NA,NA,NA,NA,8,65.8772874058127
"525",27067780100,NA,3,NA,1,NA,1,6,NA,NA,NA,10,73.6275565123789
"526",27067780400,NA,3,NA,NA,NA,NA,NA,NA,3,NA,6,55.1130247578041
"527",27067780500,NA,4.5,NA,NA,NA,NA,NA,NA,1.5,NA,6,55.1130247578041
"528",27067780700,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,25.6189451022605
"529",27067780800,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,3.5,41.227125941873
"530",27067781000,NA,3,NA,NA,NA,NA,NA,NA,3,NA,6,55.1130247578041
"531",27067781100,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,4.5,47.7933261571582
"532",27067781200,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,8.5,68.1377825618945
"533",27069090100,NA,1,2,1,1,1,7,NA,NA,NA,12,78.0409041980624
"534",27069090200,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,8,65.8772874058127
"535",27071790100,NA,8,NA,1,NA,NA,NA,NA,NA,NA,9,69.967707212056
"536",27071790202,NA,1.5,2,NA,NA,1,NA,NA,NA,NA,3.5,41.227125941873
"537",27071790300,NA,15,NA,7,NA,NA,7,NA,NA,NA,29,96.0172228202368
"538",27071790500,NA,10,NA,4,NA,2,4,4,NA,NA,22,91.280947255113
"539",27073180200,NA,8.5,NA,3,NA,NA,NA,NA,NA,NA,11.5,77.0721205597416
"540",27073180300,NA,6,NA,NA,NA,NA,NA,NA,1,NA,7,61.1410118406889
"541",27075370300,NA,33.5,NA,1,NA,1,4,2,1,NA,41.5,98.708288482239
"542",27077460300,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,4.5,47.7933261571582
"543",27077460401,NA,7,NA,5,NA,1,7,2,1,NA,22,91.280947255113
"544",27077460402,NA,14,NA,NA,NA,NA,NA,NA,1,NA,15,84.0688912809473
"545",27079950102,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,9,69.967707212056
"546",27079950500,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,9,69.967707212056
"547",27079950600,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,4.5,47.7933261571582
"548",27081201001,NA,3.5,NA,NA,NA,NA,NA,2,1,NA,6.5,58.4499461786868
"549",27081201002,NA,4,NA,1,NA,NA,NA,NA,NA,NA,5,50.2691065662002
"550",27083360100,NA,9.5,NA,1,NA,NA,NA,NA,NA,NA,10.5,74.8116254036599
"551",27083360200,NA,14,NA,3,NA,NA,NA,NA,0.25,NA,17.25,87.2981700753498
"552",27083360300,NA,4,NA,3,NA,NA,NA,NA,1.5,NA,8.5,68.1377825618945
"553",27083360400,NA,0.5,NA,NA,NA,NA,NA,NA,0.1,NA,0.6,6.02798708288482
"554",27085950100,NA,9.5,NA,NA,NA,NA,NA,NA,NA,NA,9.5,71.9052744886975
"555",27085950401,NA,6,NA,NA,NA,NA,NA,0.4,0.1,NA,6.5,58.4499461786868
"556",27085950500,NA,10.5,NA,NA,NA,NA,NA,NA,NA,NA,10.5,74.8116254036599
"557",27085950600,NA,4,4,3,NA,6,8,NA,NA,NA,19,88.5898815931109
"558",27085950700,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,34.983853606028
"559",27087940100,NA,4.5,NA,2,NA,1,4,NA,NA,NA,10.5,74.8116254036599
"560",27087940300,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,7,61.1410118406889
"561",27089080200,NA,4,NA,3,NA,NA,NA,NA,NA,NA,7,61.1410118406889
"562",27089080400,NA,0.5,NA,1,NA,1,4,NA,NA,NA,5.5,52.4219590958019
"563",27091790200,NA,6.5,NA,1,NA,NA,NA,NA,NA,NA,7.5,63.8320775026911
"564",27091790300,NA,18,NA,4,NA,NA,NA,NA,NA,NA,22,91.280947255113
"565",27091790400,NA,16.5,NA,4,NA,NA,NA,NA,NA,NA,20.5,89.8815931108719
"566",27091790501,NA,0.5,NA,1,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"567",27091790502,NA,4.5,NA,6,NA,NA,NA,NA,NA,NA,10.5,74.8116254036599
"568",27091790600,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,8,65.8772874058127
"569",27093560500,NA,7,NA,3,NA,NA,NA,NA,NA,NA,10,73.6275565123789
"570",27093560600,NA,3.5,NA,1,NA,NA,NA,NA,NA,NA,4.5,47.7933261571582
"571",27095170400,NA,12.5,NA,3,NA,NA,NA,NA,NA,NA,15.5,85.037674919268
"572",27095170500,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"573",27095170600,NA,1.5,NA,1,NA,NA,NA,NA,NA,NA,2.5,31.8622174381055
"574",27095970300,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"575",27097780300,NA,11.5,2,7,2,3,7,4,NA,NA,33.5,97.0936490850377
"576",27097780800,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,34.983853606028
"577",27099000410,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,7,61.1410118406889
"578",27099001200,NA,19.5,NA,3,NA,NA,NA,NA,NA,NA,22.5,91.9268030139935
"579",27099001300,NA,15,NA,1,NA,NA,NA,NA,NA,NA,16,85.8988159311087
"580",27101900100,NA,9.5,NA,3,NA,NA,NA,NA,NA,NA,12.5,79.4402583423036
"581",27101900200,NA,7.5,NA,1,NA,1,4,2,NA,NA,14.5,83.2077502691066
"582",27101900300,NA,9.5,NA,1,NA,NA,NA,NA,NA,NA,10.5,74.8116254036599
"583",27103480100,NA,12.5,NA,4,NA,1,6,NA,1,NA,23.5,92.5726587728741
"584",27103480300,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,7.5,63.8320775026911
"585",27105105200,NA,1.5,NA,5,NA,NA,NA,NA,NA,NA,6.5,58.4499461786868
"586",27105105300,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,6.5,58.4499461786868
"587",27105105400,NA,4.5,NA,NA,NA,NA,NA,NA,1,NA,5.5,52.4219590958019
"588",27107960100,NA,13.5,NA,4,NA,1,5,4,1,NA,27.5,95.3713670613563
"589",27109000500,NA,0.5,NA,1,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"590",27109000902,NA,2,NA,1,NA,NA,NA,NA,NA,NA,3,34.983853606028
"591",27109000903,NA,7.5,NA,4,1,NA,NA,NA,NA,NA,12.5,79.4402583423036
"592",27109001202,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"593",27109001203,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,0.5,3.33692142088267
"594",27109001401,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"595",27109001403,NA,14,NA,1,NA,NA,NA,2,3,NA,20,89.3433799784715
"596",27109001603,NA,10,NA,3,NA,NA,NA,NA,NA,NA,13,80.5166846071044
"597",27109001901,NA,17,2,3,NA,1,7,0.2,1.3,NA,30.5,96.5554359526373
"598",27109001902,NA,3,NA,6,NA,NA,NA,NA,NA,NA,9,69.967707212056
"599",27109002000,NA,26.5,NA,8,NA,NA,NA,NA,NA,NA,34.5,97.524219590958
"600",27111960103,NA,0,NA,1,NA,NA,NA,NA,NA,NA,1,8.18083961248654
"601",27111960300,NA,0,NA,NA,NA,NA,NA,NA,6,NA,6,55.1130247578041
"602",27111960400,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,4,43.4876210979548
"603",27111960700,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,2.5,31.8622174381055
"604",27111960800,NA,6,NA,NA,NA,NA,NA,NA,0.3,NA,6.3,58.3423035522067
"605",27111960900,NA,5,NA,NA,NA,NA,NA,NA,4,NA,9,69.967707212056
"606",27111961100,NA,0.5,NA,1,NA,1,5,NA,NA,NA,6.5,58.4499461786868
"607",27111961500,NA,5.5,NA,NA,NA,NA,NA,NA,1,NA,6.5,58.4499461786868
"608",27111961700,NA,10,NA,4,NA,NA,NA,NA,1.5,NA,15.5,85.037674919268
"609",27113090300,NA,5.5,NA,2,NA,1,6,0.5,0.75,NA,14.75,83.8536060279871
"610",27113090400,NA,11.5,NA,1,NA,NA,NA,2,3,NA,17.5,87.4058127018299
"611",27113090500,NA,5,NA,1,NA,NA,NA,NA,NA,NA,6,55.1130247578041
"612",27115950100,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,2.5,31.8622174381055
"613",27115950200,NA,7.5,NA,NA,NA,NA,NA,NA,6,NA,13.5,82.2389666307858
"614",27115950300,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,6,55.1130247578041
"615",27115950401,NA,7,NA,6,NA,NA,NA,NA,NA,NA,13,80.5166846071044
"616",27115950402,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,4,43.4876210979548
"617",27115950600,NA,9,NA,3,NA,NA,NA,NA,3,NA,15,84.0688912809473
"618",27115950700,NA,4,NA,1,NA,NA,NA,NA,6,NA,11,76.210979547901
"619",27115950800,NA,5,NA,1,NA,NA,NA,NA,NA,NA,6,55.1130247578041
"620",27117460200,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,6.5,58.4499461786868
"621",27117460300,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"622",27117460400,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,34.983853606028
"623",27117460500,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,8.5,68.1377825618945
"624",27119020100,NA,1.5,NA,NA,NA,0.1,0.8,NA,NA,NA,2.3,31.5392895586652
"625",27119020200,NA,5,NA,2,NA,1,8,NA,NA,NA,15,84.0688912809473
"626",27119020400,NA,10,NA,5,NA,0.25,2,NA,NA,NA,17,86.5446716899892
"627",27119020600,NA,3,NA,NA,NA,NA,NA,NA,3,NA,6,55.1130247578041
"628",27119020700,NA,3,NA,NA,NA,NA,NA,NA,3,NA,6,55.1130247578041
"629",27119020800,NA,5.5,2,3,1,1,7,4,NA,NA,22.5,91.9268030139935
"630",27119020900,NA,14,NA,1,NA,NA,NA,NA,NA,NA,15,84.0688912809473
"631",27119021000,NA,8.5,NA,9,NA,NA,NA,NA,NA,4,21.5,90.8503767491927
"632",27121970300,NA,9.5,NA,3,NA,NA,NA,NA,NA,NA,12.5,79.4402583423036
"633",27123030400,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"634",27123030702,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"635",27123031100,NA,3,NA,NA,NA,NA,NA,0.5,7.5,NA,11,76.210979547901
"636",27123031200,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,25.6189451022605
"637",27123031701,NA,4,NA,1,NA,NA,NA,2,12,NA,19,88.5898815931109
"638",27123032400,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"639",27123032600,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,4,43.4876210979548
"640",27123032700,NA,11.5,NA,NA,NA,NA,NA,NA,NA,NA,11.5,77.0721205597416
"641",27123033000,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"642",27123034201,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"643",27123034203,NA,57.5,NA,NA,NA,NA,NA,NA,NA,NA,57.5,99.8923573735199
"644",27123036100,NA,3,NA,1,NA,NA,NA,NA,6,NA,10,73.6275565123789
"645",27123036300,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"646",27123037100,NA,2.5,NA,1,NA,NA,NA,2,6.6,NA,12.1,79.2249730893434
"647",27123037500,NA,1.5,NA,NA,NA,NA,NA,NA,1,NA,2.5,31.8622174381055
"648",27123040401,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,34.983853606028
"649",27123040503,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"650",27123040606,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"651",27123040704,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"652",27123040707,NA,1,NA,1,NA,NA,NA,NA,NA,NA,2,25.6189451022605
"653",27123040801,NA,0.5,NA,1,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"654",27123041200,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,6.5,58.4499461786868
"655",27123042101,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,4,43.4876210979548
"656",27123042401,NA,1,NA,NA,NA,NA,NA,NA,6,NA,7,61.1410118406889
"657",27123042501,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,8.18083961248654
"658",27123042800,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,8.18083961248654
"659",27123042900,NA,4,NA,NA,NA,NA,NA,NA,0.25,NA,4.25,47.5780409041981
"660",27125010100,NA,0.5,NA,1,NA,1,4,2,NA,NA,7.5,63.8320775026911
"661",27125010200,NA,2.5,NA,1,NA,1,4,4,6,NA,17.5,87.4058127018299
"662",27127750100,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,8,65.8772874058127
"663",27127750200,NA,0.5,NA,1,NA,NA,NA,NA,3,NA,4.5,47.7933261571582
"664",27127750300,NA,9,NA,NA,NA,NA,NA,NA,0.75,NA,9.75,73.4122712594187
"665",27127750400,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,21,90.5274488697524
"666",27127750600,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,6,55.1130247578041
"667",27129790100,NA,6,NA,3,NA,NA,NA,NA,NA,NA,9,69.967707212056
"668",27129790200,NA,2.5,NA,1,NA,NA,NA,NA,NA,NA,3.5,41.227125941873
"669",27129790300,NA,0.5,NA,NA,NA,0.25,NA,NA,NA,NA,0.5,3.33692142088267
"670",27129790400,NA,22,2,2,1,2,5,2,NA,NA,34,97.2012917115178
"671",27129790500,NA,14.5,NA,1,NA,NA,NA,NA,NA,NA,15.5,85.037674919268
"672",27131070300,NA,24,NA,1,NA,1,5,NA,NA,NA,30,96.3401506996771
"673",27131070400,NA,14,NA,5,NA,2,4,NA,NA,NA,23,92.2497308934338
"674",27131070501,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,4,43.4876210979548
"675",27131070601,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,6,55.1130247578041
"676",27131070701,NA,4,NA,3,NA,0.5,NA,NA,NA,NA,7,61.1410118406889
"677",27133570100,NA,7.5,NA,NA,NA,NA,0.6,NA,0.1,NA,8.2,67.9224973089343
"678",27133570300,NA,0.5,NA,1,NA,1,6,NA,1,NA,8.5,68.1377825618945
"679",27135970100,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,34.983853606028
"680",27135970200,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"681",27135970300,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,17,86.5446716899892
"682",27135970400,NA,15,NA,4,NA,1,5,4,3,NA,31,96.6630785791173
"683",27137000200,NA,5.5,NA,1,NA,NA,NA,NA,NA,NA,6.5,58.4499461786868
"684",27137000301,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"685",27137000302,NA,0.5,NA,NA,NA,NA,NA,2,0.5,NA,3,34.983853606028
"686",27137000400,NA,1.5,NA,NA,NA,NA,NA,4,1,NA,6.5,58.4499461786868
"687",27137000900,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"688",27137002400,NA,5,NA,NA,NA,NA,NA,0.2,0.6,NA,5.8,54.8977395048439
"689",27137003300,NA,1.5,NA,NA,NA,NA,NA,NA,0.6,NA,2.1,30.7857911733046
"690",27137010301,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,25.6189451022605
"691",27137010400,NA,8,NA,NA,NA,NA,NA,0.4,0.1,NA,8.5,68.1377825618945
"692",27137010500,NA,7.5,NA,3,NA,NA,NA,NA,NA,NA,10.5,74.8116254036599
"693",27137010601,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,5.5,52.4219590958019
"694",27137010602,NA,9.5,NA,NA,NA,NA,NA,NA,NA,NA,9.5,71.9052744886975
"695",27137011101,NA,3,2,1,NA,1,7,NA,NA,NA,13,80.5166846071044
"696",27137011102,NA,4,NA,1,NA,NA,NA,NA,NA,NA,5,50.2691065662002
"697",27137011200,NA,5.5,NA,1,NA,NA,NA,4,1,NA,11.5,77.0721205597416
"698",27137011402,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,7.5,63.8320775026911
"699",27137012100,NA,6,NA,1,NA,1,3.5,4,3,NA,17.5,87.4058127018299
"700",27137012200,NA,3,NA,1,NA,NA,NA,NA,NA,NA,4,43.4876210979548
"701",27137012300,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"702",27137012400,NA,6.5,NA,4,NA,NA,NA,NA,NA,NA,10.5,74.8116254036599
"703",27137012500,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,34.983853606028
"704",27137012600,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,34.983853606028
"705",27137013000,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"706",27137013100,NA,3,NA,1,NA,NA,NA,NA,NA,NA,4,43.4876210979548
"707",27137013300,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,34.983853606028
"708",27137013600,NA,3,NA,1,NA,NA,NA,NA,NA,NA,4,43.4876210979548
"709",27137013800,NA,3,NA,NA,NA,NA,NA,2,0.5,NA,5.5,52.4219590958019
"710",27137014000,NA,7,2,1,NA,1,5,NA,NA,NA,15,84.0688912809473
"711",27137014100,NA,9,NA,1,NA,NA,NA,NA,NA,NA,10,73.6275565123789
"712",27137015100,NA,12,NA,3,NA,NA,NA,4,1,NA,20,89.3433799784715
"713",27137015200,NA,8,NA,2,2,NA,NA,NA,1,NA,13,80.5166846071044
"714",27137015300,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,8,65.8772874058127
"715",27137015401,NA,18.5,NA,2,NA,NA,NA,4,3,NA,27.5,95.3713670613563
"716",27137015402,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,34.983853606028
"717",27137015501,NA,1.5,NA,1,NA,NA,NA,2,0.5,NA,5,50.2691065662002
"718",27137015502,NA,3,NA,1,NA,NA,NA,NA,NA,NA,4,43.4876210979548
"719",27137015503,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,25.6189451022605
"720",27137015800,NA,13,NA,2,NA,NA,NA,NA,12,NA,27,94.8331539289559
"721",27139080201,NA,0.5,NA,2,NA,NA,NA,4,3,NA,9.5,71.9052744886975
"722",27139080202,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,4,43.4876210979548
"723",27139080304,NA,0,NA,1,NA,NA,NA,2,4,NA,7,61.1410118406889
"724",27139080305,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,34.983853606028
"725",27139081001,NA,2.5,NA,1,NA,NA,NA,2,7,NA,12.5,79.4402583423036
"726",27139081002,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"727",27139081200,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"728",27139081301,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,4,43.4876210979548
"729",27139081302,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,15,84.0688912809473
"730",27141030104,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"731",27141030302,NA,3,NA,NA,NA,0.3,NA,NA,NA,NA,3,34.983853606028
"732",27141030409,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"733",27141030410,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,2.5,31.8622174381055
"734",27141030505,NA,4.5,1,1,NA,1.5,NA,NA,NA,NA,6.5,58.4499461786868
"735",27143170198,NA,14,NA,3,NA,NA,NA,NA,NA,NA,17,86.5446716899892
"736",27143170200,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,39,98.1700753498385
"737",27143170300,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,21,90.5274488697524
"738",27145000304,NA,3,NA,NA,NA,NA,NA,NA,1,NA,4,43.4876210979548
"739",27145000901,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,0.5,3.33692142088267
"740",27145001003,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,34.983853606028
"741",27145010103,NA,6.5,NA,6,NA,1,NA,NA,NA,NA,12.5,79.4402583423036
"742",27145010200,NA,4,NA,3,NA,NA,NA,NA,NA,NA,7,61.1410118406889
"743",27145010402,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,6.5,58.4499461786868
"744",27145010500,NA,3,NA,9,NA,NA,NA,NA,6,NA,18,88.0516684607104
"745",27145010900,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,6,55.1130247578041
"746",27145011101,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,4,43.4876210979548
"747",27145011102,NA,0.5,NA,1,NA,NA,NA,4,NA,NA,5.5,52.4219590958019
"748",27145011202,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"749",27145011306,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,3.5,41.227125941873
"750",27145011308,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"751",27145011400,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,25.6189451022605
"752",27147960200,NA,2,NA,1,NA,NA,NA,NA,NA,NA,3,34.983853606028
"753",27147960400,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,34.983853606028
"754",27147960500,NA,17,2,7,NA,1,7,4,NA,NA,37,97.9547900968784
"755",27147960600,NA,4.5,NA,3,NA,NA,NA,NA,6,NA,13.5,82.2389666307858
"756",27149480100,NA,4,NA,1,NA,NA,NA,NA,NA,NA,5,50.2691065662002
"757",27149480200,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,0.5,3.33692142088267
"758",27151960100,NA,5.5,NA,1,NA,NA,NA,NA,NA,NA,6.5,58.4499461786868
"759",27151960400,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,5,50.2691065662002
"760",27153790200,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,25.6189451022605
"761",27153790400,NA,4,NA,4,NA,1,4,NA,9,NA,21,90.5274488697524
"762",27153790500,NA,2,NA,NA,0.5,NA,NA,NA,NA,NA,2.5,31.8622174381055
"763",27153790600,NA,5.5,NA,3,1,NA,NA,NA,NA,NA,9.5,71.9052744886975
"764",27153790700,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"765",27153790800,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,5,50.2691065662002
"766",27157490200,NA,27,NA,7,NA,NA,NA,NA,NA,NA,34,97.2012917115178
"767",27157490300,NA,3,NA,1,NA,NA,NA,NA,3,NA,7,61.1410118406889
"768",27159480100,NA,9.5,NA,3,NA,NA,NA,NA,NA,NA,12.5,79.4402583423036
"769",27161790300,NA,17,NA,3,NA,NA,NA,4,6,NA,30,96.3401506996771
"770",27161790500,NA,4.5,NA,1,NA,NA,NA,NA,NA,NA,5.5,52.4219590958019
"771",27163070103,NA,0.5,NA,1,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"772",27163070105,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"773",27163070205,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"774",27163070206,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,34.983853606028
"775",27163070301,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"776",27163070703,NA,2,NA,NA,NA,NA,NA,NA,1,NA,3,34.983853606028
"777",27163070706,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,4,43.4876210979548
"778",27163070906,NA,0.5,NA,1,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"779",27163070907,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"780",27163071006,NA,2.5,NA,3,NA,NA,NA,NA,NA,NA,5.5,52.4219590958019
"781",27163071102,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,4,43.4876210979548
"782",27165950100,NA,2,NA,3,NA,NA,NA,NA,NA,NA,5,50.2691065662002
"783",27167950100,NA,9.5,NA,1,NA,NA,NA,NA,NA,NA,10.5,74.8116254036599
"784",27167950200,NA,1.5,NA,NA,NA,NA,NA,4,NA,NA,5.5,52.4219590958019
"785",27169670101,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"786",27169670102,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,5,50.2691065662002
"787",27169670200,NA,4.5,NA,1,NA,NA,NA,NA,0.1,NA,5.6,54.5748116254037
"788",27169670301,NA,2,NA,NA,NA,NA,NA,NA,0.5,NA,2.5,31.8622174381055
"789",27169670400,NA,10,NA,1,NA,NA,NA,NA,1,NA,12,78.0409041980624
"790",27169670500,NA,0.5,NA,NA,NA,NA,NA,NA,0.1,NA,0.6,6.02798708288482
"791",27169670600,NA,2,NA,NA,NA,NA,NA,NA,3.3,NA,5.3,52.3143164693219
"792",27169670700,NA,13.5,NA,NA,NA,NA,NA,NA,3,NA,16.5,86.0064585575888
"793",27169670801,NA,2.5,NA,3,NA,NA,NA,NA,NA,NA,5.5,52.4219590958019
"794",27169670802,NA,24.5,NA,NA,NA,NA,NA,NA,1.5,NA,26,94.1872981700754
"795",27169671000,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,8.18083961248654
"796",27171100206,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,8.18083961248654
"797",27171100401,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,2.5,31.8622174381055
"798",27171100402,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"799",27171100704,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,5.5,52.4219590958019
"800",27171100705,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,8.18083961248654
"801",27171100804,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,8.5,68.1377825618945
"802",27171100806,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,25.6189451022605
"803",27171100900,NA,1,NA,1,NA,NA,NA,NA,NA,NA,2,25.6189451022605
"804",27171101002,NA,1,NA,1,NA,NA,NA,NA,6,NA,8,65.8772874058127
"805",27171101101,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"806",27171101200,NA,9.5,NA,NA,NA,NA,NA,NA,NA,NA,9.5,71.9052744886975
"807",27173970100,NA,14,NA,2,NA,1,4,NA,NA,NA,20,89.3433799784715
"808",27173970200,NA,13.5,NA,1,NA,NA,NA,NA,NA,NA,14.5,83.2077502691066
"809",27173970300,NA,16,NA,13,NA,NA,NA,NA,NA,NA,29,96.0172228202368
