"","geoid","compost_points","enf_points","gascapture_points","insp_points","landdisposal_points","leachate_points","msw_points","tire_points","transfer_points","wte_points","sw_points","percentile_rank"
"309",27007450706,NA,7.5,NA,3,NA,NA,NA,NA,6,NA,16.5,86.0064585575888
"310",27009020203,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,25.6189451022605
"311",27009021103,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"312",27011950100,NA,16,NA,7,NA,NA,NA,NA,1,NA,24,92.6803013993541
"313",27011950200,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,5,50.2691065662002
"314",27013170100,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,34.983853606028
"315",27013170200,NA,7.5,NA,1,NA,1,7,NA,0.6,8,24.1,93.1108719052745
"316",27013170400,NA,3,NA,NA,NA,NA,NA,NA,0.1,NA,3.1,40.5812701829925
"317",27013170700,NA,3,NA,NA,NA,NA,NA,NA,1,NA,4,43.4876210979548
"318",27013170900,NA,11,4,2,2,7,14,4,6,NA,43,99.0312163616792
"319",27013171000,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,25.6189451022605
"320",27013171202,NA,8,NA,NA,NA,NA,NA,NA,0.1,NA,8.1,67.7072120559742
"321",27013171300,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,8.18083961248654
"322",27013171400,NA,5,NA,1,NA,NA,NA,NA,NA,NA,6,55.1130247578041
"323",27015960101,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,4.5,47.7933261571582
"324",27015960102,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"325",27015960200,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"326",27015960500,NA,7.5,NA,NA,1,0.35,1.25,NA,NA,NA,9.75,73.4122712594187
"327",27015960600,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,8.5,68.1377825618945
"328",27015960700,NA,32.5,NA,4,NA,2.5,18,NA,NA,NA,54.5,99.7847147470398
"329",27017070100,NA,4,NA,3,NA,6,6,NA,NA,NA,13,80.5166846071044
"330",27017070300,NA,1.5,NA,NA,NA,0.7,6,NA,NA,NA,7.5,63.8320775026911
"331",27017070401,NA,5.5,NA,NA,NA,NA,8,8,6,NA,27.5,95.3713670613563
"332",27017070402,NA,7,NA,1,NA,0.25,NA,4,NA,NA,12,78.0409041980624
"333",27017070501,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"334",27017070502,NA,6.5,NA,4,NA,NA,NA,4,NA,NA,14.5,83.2077502691066
"335",27017940000,NA,6,NA,1,NA,NA,8,4,6,NA,25,93.8643702906351
"336",27019091002,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,4,43.4876210979548
"337",27019091201,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,0.5,3.33692142088267
"338",27021940001,NA,7,NA,4,NA,1,8,NA,NA,NA,19,88.5898815931109
"339",27021940002,NA,3.5,NA,2,NA,NA,NA,NA,NA,NA,5.5,52.4219590958019
"340",27021960100,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,4.5,47.7933261571582
"341",27021960700,NA,16,NA,1,NA,1,NA,NA,NA,NA,17,86.5446716899892
"342",27021960803,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,4,43.4876210979548
"343",27021960804,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,34.983853606028
"344",27023950300,NA,1,NA,2,NA,1,5,2,3,NA,13,80.5166846071044
"345",27023950500,NA,16.5,NA,3,NA,NA,NA,NA,NA,NA,19.5,89.0204520990312
"346",27023950601,NA,0.5,NA,1,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"347",27023950602,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"348",27025110302,NA,9.5,NA,3,NA,NA,NA,NA,NA,NA,12.5,79.4402583423036
"349",27025110404,NA,11,NA,1,NA,NA,NA,NA,NA,NA,12,78.0409041980624
"350",27027030106,NA,7,NA,6,NA,NA,NA,NA,NA,NA,13,80.5166846071044
"351",27027030108,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"352",27027030110,NA,5,NA,4,NA,NA,NA,NA,NA,NA,9,69.967707212056
"353",27027030112,NA,7,NA,3,NA,NA,NA,NA,0.3,NA,10.3,74.5963401506997
"354",27029000300,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,8,65.8772874058127
"355",27031480101,NA,8.5,NA,1,NA,NA,NA,NA,1,NA,10.5,74.8116254036599
"356",27031480200,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,6,55.1130247578041
"357",27033270200,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"358",27033270300,NA,23,2,7,1,1,6,4,NA,NA,43,99.0312163616792
"359",27033270400,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,5.5,52.4219590958019
"360",27035950204,NA,11.5,NA,4,NA,1,5,NA,NA,NA,20.5,89.8815931108719
"361",27035950401,NA,7,NA,1,NA,0.5,2.5,NA,NA,NA,10.5,74.8116254036599
"362",27035950501,NA,9,NA,3,NA,NA,NA,NA,NA,NA,12,78.0409041980624
"363",27035950502,NA,0.5,NA,NA,NA,0.1,0.5,NA,NA,NA,1,8.18083961248654
"364",27035950701,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,34.983853606028
"365",27035950801,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"366",27035950902,NA,8.5,NA,1,NA,NA,NA,NA,NA,NA,9.5,71.9052744886975
"367",27035951000,NA,3,NA,1,NA,NA,NA,NA,NA,NA,4,43.4876210979548
"368",27035951100,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"369",27035951600,NA,31.5,NA,3,NA,NA,NA,NA,NA,NA,34.5,97.524219590958
"370",27035951700,NA,3,NA,1,NA,NA,NA,NA,NA,NA,4,43.4876210979548
"371",27037060104,NA,0.5,NA,1,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"372",27037060202,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"373",27037060502,NA,1.5,NA,1,NA,1,7,NA,NA,NA,9.5,71.9052744886975
"374",27037060505,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"375",27037060604,NA,4,NA,3,NA,NA,NA,NA,NA,NA,7,61.1410118406889
"376",27037060605,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,0.5,3.33692142088267
"377",27037060738,NA,0.5,NA,1,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"378",27037060745,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,8.18083961248654
"379",27037060813,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"380",27037060829,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
