"","GEOID","enf_points","insp_points","hw_points","percentile_rank"
"689",27053005902,NA,NA,0,0
"690",27053021100,NA,NA,0,0
"691",27053027400,NA,NA,0,0
"692",27053027501,3,NA,3,58.2278481012658
"693",27053026020,5,NA,5,67.9546968687542
"694",27053023502,NA,NA,0,0
"695",27053023801,NA,NA,0,0
"696",27053023903,1.5,NA,1.5,45.9027315123251
"697",27053025907,NA,NA,0,0
"698",27053026013,1,1,2,50.7661558960693
"699",27053021502,17.5,1,18.5,91.8720852764823
"700",27053100400,1.5,NA,1.5,45.9027315123251
"701",27053023902,NA,NA,0,0
"702",27053021800,NA,NA,0,0
"703",27053023300,9.5,1,10.5,82.0119920053298
"704",27053100800,NA,NA,0,0
"705",27053100900,NA,NA,0,0
"706",27053110500,NA,NA,0,0
"707",27053106200,NA,NA,0,0
"708",27053100200,NA,NA,0,0
"709",27053025301,NA,NA,0,0
"710",27053025603,NA,NA,0,0
"711",27053025605,1,NA,1,40.7728181212525
"712",27065480300,20,1,21,93.5376415722851
"713",27053101200,NA,NA,0,0
"714",27053105100,NA,NA,0,0
"715",27053106700,3,NA,3,58.2278481012658
"716",27053109800,NA,NA,0,0
"717",27053111100,NA,NA,0,0
"718",27053101800,14,NA,14,87.1419053964024
"719",27053101900,0.5,NA,0.5,35.8427714856762
"720",27053102800,NA,NA,0,0
"721",27053109100,1.5,NA,1.5,45.9027315123251
"722",27053109900,NA,NA,0,0
"723",27053012102,NA,NA,0,0
"724",27053026202,2.5,NA,2.5,55.0966022651566
"725",27147960500,1,NA,1,40.7728181212525
"726",27147960100,11,2,13,85.742838107928
"727",27147960400,69,5,74,99.9333777481679
"728",27129790400,21,NA,21,93.5376415722851
"729",27129790300,0.5,NA,0.5,35.8427714856762
"730",27003051206,15.5,2,17.5,90.473017988008
"731",27003051305,3,NA,3,58.2278481012658
"732",27003050711,NA,NA,0,0
"733",27003050208,NA,NA,0,0
"734",27003050707,1,1,2,50.7661558960693
"735",27003050902,NA,NA,0,0
"736",27003051501,NA,NA,0,0
"737",27003050602,NA,NA,0,0
"738",27003050704,1,NA,1,40.7728181212525
"739",27003050114,NA,NA,0,0
"740",27003051101,59.5,2,61.5,99.7335109926716
"741",27031480200,9.5,NA,9.5,79.9467021985343
"742",27009020300,48,5,53,99.400399733511
"743",27011950200,8,2,10,81.0126582278481
"744",27049080500,9.5,NA,9.5,79.9467021985343
"745",27049080700,3,2,5,67.9546968687542
"746",27049080800,9,2,11,82.5449700199867
"747",27069090100,NA,NA,0,0
"748",27041450900,8,6,14,87.1419053964024
"749",27041450200,2.5,NA,2.5,55.0966022651566
"750",27079950200,33.5,6,39.5,98.4676882078614
"751",27019090200,NA,NA,0,0
"752",27019090402,0.5,NA,0.5,35.8427714856762
"753",27019091202,1,NA,1,40.7728181212525
"754",27153790300,5.5,NA,5.5,69.8201199200533
"755",27153790800,2.5,NA,2.5,55.0966022651566
"756",27091790300,4.5,NA,4.5,66.3557628247835
"757",27013171500,3,NA,3,58.2278481012658
"758",27013171400,6,1,7,74.4836775483011
"759",27013170100,2.5,NA,2.5,55.0966022651566
"760",27013171000,2.5,1,3.5,61.4923384410393
"761",27013170500,13.5,1,14.5,87.8081279147235
"762",27013170800,6.5,NA,6.5,73.217854763491
"763",27161790200,9,2,11,82.5449700199867
"764",27161790500,41,1,42,98.6675549633578
"765",27163070205,5,NA,5,67.9546968687542
"766",27163070103,4,NA,4,63.5576282478348
"767",27163070502,NA,NA,0,0
"768",27163071101,NA,NA,0,0
"769",27163070406,NA,NA,0,0
"770",27163070403,NA,NA,0,0
"771",27163070303,1,NA,1,40.7728181212525
"772",27163071006,15,1,16,89.4736842105263
"773",27163071400,41,3,44,98.9340439706862
"774",27117460500,0.5,NA,0.5,35.8427714856762
"775",27085950500,15.5,NA,15.5,89.0073284477015
"776",27151960300,9.5,1,10.5,82.0119920053298
"777",27097780500,1.5,2,3.5,61.4923384410393
"778",27097780700,14,NA,14,87.1419053964024
"779",27105105100,3,NA,3,58.2278481012658
"780",27105105500,4,NA,4,63.5576282478348
"781",27167950200,1,2,3,58.2278481012658
"782",27123030601,NA,NA,0,0
"783",27123036000,0.5,NA,0.5,35.8427714856762
"784",27123030300,NA,NA,0,0
"785",27123037601,11.5,NA,11.5,83.6775483011326
"786",27123031300,5.5,NA,5.5,69.8201199200533
"787",27123030900,NA,NA,0,0
"788",27123042402,0.5,NA,0.5,35.8427714856762
"789",27123032100,NA,NA,0,0
"790",27123042202,NA,NA,0,0
"791",27123042302,2.5,NA,2.5,55.0966022651566
"792",27123034601,NA,NA,0,0
"793",27123037100,1,1,2,50.7661558960693
"794",27123034000,1,1,2,50.7661558960693
"795",27123034500,NA,NA,0,0
"796",27123035000,1,NA,1,40.7728181212525
"797",27123036400,NA,NA,0,0
"798",27123035700,NA,NA,0,0
"799",27123036700,NA,NA,0,0
"800",27123042301,NA,NA,0,0
"801",27123040601,NA,NA,0,0
"802",27123040706,NA,NA,0,0
"803",27123040402,NA,NA,0,0
"804",27123042601,NA,NA,0,0
"805",27123040301,0.5,NA,0.5,35.8427714856762
"806",27123031900,21.5,3,24.5,95.4696868754164
"807",27123040503,17.5,8,25.5,95.8027981345769
"808",27123030201,NA,NA,0,0
"809",27123041106,NA,NA,0,0
"810",27123030202,3,NA,3,58.2278481012658
"811",27093560100,14.5,1,15.5,89.0073284477015
"812",27093560300,63,3,66,99.8001332445037
"813",27093560400,23.5,4,27.5,96.402398401066
"814",27109001603,3.5,NA,3.5,61.4923384410393
"815",27109000600,1.5,NA,1.5,45.9027315123251
"816",27109000901,11,NA,11,82.5449700199867
"817",27109000100,3,1,4,63.5576282478348
"818",27109000300,5,NA,5,67.9546968687542
"819",27109002300,0.5,NA,0.5,35.8427714856762
"820",27109001000,2,NA,2,50.7661558960693
"821",27109001202,2,NA,2,50.7661558960693
"822",27109001203,0.5,NA,0.5,35.8427714856762
